chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Phenethylammonium iodide  (M),prepare__Phenethylammonium iodide ,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL)
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,0.5106498288662376,0.1615 gram,0.761315337232407,0.1301 gram,11.903203663687316,0.58 milliliter,0.6860234954022327
Dimethyl_sulfoxide__Lead_Diiodide__Phenethylammonium_iodide_,1.4303487080094528,3.692 gram,2.828191511984251,3.9445 gram,6.487616183287892,2.58 milliliter,5.598986474069519
