identifier,fingerprint,outcome,organic___0___chemname,organic___0___molarity,inorganic___0___chemname,inorganic___0___molarity,solvent___0___chemname,solvent___0___molarity,acid___0___chemname,acid___0___molarity,solvent___1___chemname,solvent___1___molarity
2020-06-26T15_05_30.850680+00_00_HC_A3,1%1%2%1,4,Methylammonium iodide,0.7175198664335776,Lead Diiodide,0.46313103141801154,Gamma-Butyrolactone,5.31200189226265,Formic Acid,2.650445361720618,Dimethylformamide,5.272875577758178
2020-07-06T15_27_13.995342+00_00_HC_A1,1%1%1%1,1,"1,3-Diaminopropane Dihydroiodide",0.6691329770196556,Lead Diiodide,0.44382868566644057,Dimethylformamide,9.837392432093193,Formic Acid,2.6504453617206174,,
2020-07-06T15_27_13.995342+00_00_HC_C1,1%1%1%1,1,"1,3-Diaminopropane Dihydroiodide",0.674452429517867,Lead Diiodide,0.46652804072542403,Dimethyl sulfoxide,10.6894014860745,Formic Acid,2.6504453617206174,,
2020-07-06T15_27_13.995342+00_00_HC_E1,1%1%2%1,1,"1,3-Diaminopropane Dihydroiodide",0.6632940237970161,Lead Diiodide,0.4419182803140036,Dimethyl sulfoxide,5.369993423915665,Formic Acid,2.6504453617206174,Dimethylformamide,4.9255361445434795
2020-07-06T15_27_13.995342+00_00_HC_G1,1%1%2%1,4,"1,3-Diaminopropane Dihydroiodide",0.6698033727353065,Lead Diiodide,0.43233122615586755,Gamma-Butyrolactone,4.960107192201283,Formic Acid,2.6504453617206174,Dimethylformamide,4.923572808759018
2020-07-06T16_12_50.344926+00_00_HC_A1,1%1%1%1,4,"1,4-Benzene diammonium iodide",0.6651803158135396,Lead Diiodide,0.4684892362551576,Dimethylformamide,9.83392002051865,Formic Acid,2.6504453617206174,,
2020-07-06T16_12_50.344926+00_00_HC_C1,1%1%1%1,1,"1,4-Benzene diammonium iodide",0.6556666305893081,Lead Diiodide,0.5146869638974161,Dimethyl sulfoxide,10.6934378611644,Formic Acid,2.6504453617206174,,
2020-07-06T16_12_50.344926+00_00_HC_E1,1%1%2%1,3,"N,N-Dimethylethane-1,2-diammonium iodide",0.6993933290922499,Lead Diiodide,0.48999847006903907,Dimethyl sulfoxide,5.300644527394102,Formic Acid,2.6504453617206174,Dimethylformamide,4.861927035660791
2020-07-06T16_12_50.344926+00_00_HC_G1,1%1%2%1,4,"N,N-Dimethylethane-1,2-diammonium iodide",0.6839979523891311,Lead Diiodide,0.45365439778421457,Gamma-Butyrolactone,4.931497319812715,Formic Acid,2.6504453617206174,Dimethylformamide,4.895173666503404
2020-07-08T14_08_51.487577+00_00_HC_A1,1%1%1%1,4,"N,N-Diethylpropane-1,3-diammonium iodide",0.6954214446776381,Lead Diiodide,0.46020750065761606,Gamma-Butyrolactone,9.370807759676653,Formic Acid,2.650445361720618,,
2020-07-08T14_08_51.487577+00_00_HC_C1,1%1%1%1,1,"N,N-Diethylpropane-1,3-diammonium iodide",0.6525517890140885,Lead Diiodide,0.46017797292540297,Dimethylformamide,9.417453768578852,Formic Acid,2.650445361720618,,
2020-07-08T14_08_51.487577+00_00_HC_E1,1%1%1%1,1,"N,N-Diethylpropane-1,3-diammonium iodide",0.6761853926033852,Lead Diiodide,0.4979608702389301,Dimethyl sulfoxide,10.157926472527755,Formic Acid,2.650445361720618,,
2020-07-08T14_08_51.487577+00_00_HC_G1,1%1%2%1,1,"N,N-Diethylpropane-1,3-diammonium iodide",0.656340043809137,Lead Diiodide,0.4707119477497681,Dimethyl sulfoxide,5.1225002571250595,Formic Acid,2.650445361720618,Dimethylformamide,4.698527200151559
2020-07-08T14_08_51.487577+00_00_HC_A3,1%1%2%1,4,"N,N-Diethylpropane-1,3-diammonium iodide",0.656340043809137,Lead Diiodide,0.4707119477497681,Gamma-Butyrolactone,4.733391677841188,Formic Acid,2.650445361720618,Dimethylformamide,4.698527200151559
2020-10-07T16_03_48.152984+00_00_HC_A1,1%1%1%0,4,"2,2-dimethylpropane-1,3-diammonium iodide",0.9901526873586055,Lead Diiodide,0.9870723080377143,Dimethylformamide,9.743224001762911,,,,
2020-10-07T16_03_48.152984+00_00_HC_C1,1%1%1%1,3,"2,2-dimethylpropane-1,3-diammonium iodide",0.8535799028953497,Lead Diiodide,0.8509244034807882,Dimethylformamide,8.39933103600251,Formic Acid,3.6557867058215407,,
2020-11-25T22_28_56.039621+00_00_HC_A1,1%1%1%1,4,Acetamidinium iodide,0.7205353610383356,Lead Diiodide,0.481767455267748,Gamma-Butyrolactone,10.438714840504279,Formic Acid,2.6504453617206174,,
2020-11-25T22_28_56.039621+00_00_HC_C1,1%1%1%1,1,Acetamidinium iodide,0.7341141460311595,Lead Diiodide,0.49472285143895156,Dimethylformamide,10.334324024495466,Formic Acid,2.6504453617206174,,
2020-11-25T22_28_56.039621+00_00_HC_E1,1%1%1%1,1,Acetamidinium iodide,0.7468197797966856,Lead Diiodide,0.4831342953782881,Dimethyl sulfoxide,11.263771792792806,Formic Acid,2.6504453617206174,,
2020-11-25T22_28_56.039621+00_00_HC_G1,1%1%2%1,1,Acetamidinium iodide,0.7053207126304081,Lead Diiodide,0.46798118447005205,Dimethyl sulfoxide,5.6648288019521,Formic Acid,2.6504453617206174,Dimethylformamide,5.195968935902408
2020-11-25T22_28_56.039621+00_00_HC_A3,1%1%2%1,4,Acetamidinium iodide,0.7562286559226691,Lead Diiodide,0.48532318466448754,Gamma-Butyrolactone,5.197789321922998,Formic Acid,2.6504453617206174,Dimethylformamide,5.1595042565442055
2020-11-25T23_09_35.145018+00_00_HC_A1,1%1%1%1,4,"N,N-Dimethylethane-1,2-diammonium iodide",0.6577447386451195,Lead Diiodide,0.45657233582175405,Dimethylformamide,9.84101828531372,Formic Acid,2.6504453617206174,,
2020-11-25T23_09_35.145018+00_00_HC_C1,1%1%1%1,4,"N,N-Dimethylethane-1,2-diammonium iodide",0.663958250620486,Lead Diiodide,0.476944487614751,Dimethyl sulfoxide,10.693757659906202,Formic Acid,2.6504453617206174,,
2020-11-25T23_09_35.145018+00_00_HC_E1,1%1%2%1,3,"N,N-Dimethylethane-1,2-diammonium iodide",0.6614434802366231,Lead Diiodide,0.45651026331152705,Dimethyl sulfoxide,5.360437395044108,Formic Acid,2.6504453617206174,Dimethylformamide,4.9167710377939
2020-11-25T23_09_35.145018+00_00_HC_G1,1%1%2%1,4,"N,N-Dimethylethane-1,2-diammonium iodide",0.6712531265308285,Lead Diiodide,0.4778794703528925,Gamma-Butyrolactone,4.932784323835783,Formic Acid,2.6504453617206174,Dimethylformamide,4.896451190913099
2020-11-30T18_12_22.108199+00_00_HC_A1,1%1%1%1,4,Phenethylammonium iodide ,0.6882948555877155,Lead Diiodide,0.47723723728024103,Gamma-Butyrolactone,9.875754012361842,Formic Acid,2.650445361720618,,
2020-11-30T18_12_22.108199+00_00_HC_C1,1%1%1%1,1,Phenethylammonium iodide ,0.6879258504995001,Lead Diiodide,0.46015902129720654,Dimethylformamide,9.820246297781246,Formic Acid,2.650445361720618,,
2020-11-30T18_12_22.108199+00_00_HC_E1,1%1%1%1,1,Phenethylammonium iodide ,0.6851838035091666,Lead Diiodide,0.4595848459796135,Dimethyl sulfoxide,10.712883297318585,Formic Acid,2.650445361720618,,
2020-11-30T18_12_22.108199+00_00_HC_G1,1%1%2%1,1,Phenethylammonium iodide ,0.6852762177454771,Lead Diiodide,0.46583482744237803,Dimethyl sulfoxide,5.353049533919805,Formic Acid,2.650445361720618,Dimethylformamide,4.909994646441803
2020-11-30T18_12_22.108199+00_00_HC_A3,1%1%2%1,1,Phenethylammonium iodide ,0.6856329312336447,Lead Diiodide,0.4598174223210206,Gamma-Butyrolactone,4.9490030882297225,Formic Acid,2.650445361720618,Dimethylformamide,4.912550493663497
2021-02-08T21_20_17.803967+00_00_HC_A1,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.4221391948825741,Lead Diiodide,0.33108784623356735,Gamma-Butyrolactone,10.06102109564084,Formic Acid,3.3572307915127815,,
2021-02-08T21_20_17.803967+00_00_HC_C1,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.23796823386043625,Lead Diiodide,0.08332747807891745,Gamma-Butyrolactone,8.273269474871547,Formic Acid,8.360465234957651,,
2021-02-08T21_20_17.803967+00_00_HC_E1,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.5867241064390808,Lead Diiodide,0.29899564680936225,Gamma-Butyrolactone,5.844683361593932,Formic Acid,11.233675705305926,,
2021-02-08T21_20_17.803967+00_00_HC_G1,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,1.2051804559632295,Lead Diiodide,0.933065748476418,Gamma-Butyrolactone,8.093748815547691,Formic Acid,2.4737490042725754,,
2021-02-08T21_20_17.803967+00_00_HC_A3,1%1%1%1,4,4-methoxy-phenethylammonium-iodide,0.596901228840424,Lead Diiodide,0.46653287423820855,Gamma-Butyrolactone,4.580445205388667,Formic Acid,13.428923166051124,,
2021-02-08T21_20_17.803967+00_00_HC_C3,1%1%1%1,3,4-methoxy-phenethylammonium-iodide,0.9430984696853815,Lead Diiodide,0.3762361889017814,Gamma-Butyrolactone,5.6006129558767075,Formic Acid,9.894996017090302,,
2021-02-08T21_20_17.803967+00_00_HC_E3,1%1%1%1,3,4-methoxy-phenethylammonium-iodide,0.5539454206728799,Lead Diiodide,0.3837609126798166,Gamma-Butyrolactone,4.587129649990929,Formic Acid,13.782315880947207,,
